Species	Status	min_age	max_age
Polonosuchus silesiacus	extinct	227.3	233.6
Silesaurus opolensis	extinct	205.7	237
Coelurosaurichnus perriauxi	extinct	237	246.7
Rotodactylus velox	extinct	237	246.7
Anchisauripus bibractensis	extinct	237	246.7
Brachychirotherium pachydactylum	extinct	237	246.7
Brachychirotherium circaparvum	extinct	237	246.7
Brachychirotherium pachydactylum	extinct	237	246.7
Isochirotherium circademathieui	extinct	237	246.7
Chirotherium barthii	extinct	237	246.7
Brachychirotherium pachydactylum	extinct	237	246.7
Brachychirotherium lorteti	extinct	237	246.7
Rotodactylus lucasi	extinct	237	246.7
Chirotherium ferox	extinct	237	246.7
Anchisauripus bibractensis	extinct	237	246.7
Rhynchosauroides maximus	extinct	237	246.7
Revueltosaurus callenderi	extinct	205.7	227.3
Machaeroprosopus buceros	extinct	205.7	227.3
Rioarribasuchus chamaensis	extinct	205.7	227.3
Typothorax coccinarum	extinct	205.7	227.3
Grallator tuberosus	extinct	201.4	205.7
Grallator tuberosus	extinct	205.7	227.3
Eubrontes giganteus	extinct	201.4	205.7
Psephosauriscus mosis	extinct	241.464	246.7
Parringtonia gracilis	extinct	241.464	246.7
Shuvosaurus inexpectatus	extinct	205.7	227.3
Shuvosaurus inexpectatus	extinct	205.7	227.3
Opisthodontosaurus carrolli	extinct	283.3	290.1
Colobomycter pholeter	extinct	283.3	290.1
Captorhinus aguti	extinct	283.3	290.1
Baeotherates fortsillensis	extinct	283.3	290.1
Bolosaurus grandis	extinct	283.3	290.1
Delorhynchus priscus	extinct	283.3	290.1
Graoullyodon hacheti	extinct	201.4	205.7
Captorhinus aguti	extinct	274.4	283.3
Acleistorhinus pteroticus	extinct	274.4	283.3
Efraasia minor	extinct	211.18	215.38
Efraasia minor	extinct	211.18	215.38
Efraasia minor	extinct	211.18	215.38
Plateosaurus gracilis	extinct	205.7	227.3
Plateosaurus gracilis	extinct	205.7	227.3
Plateosaurus gracilis	extinct	205.7	227.3
Anchisauripus bibractensis	extinct	237	246.7
Anchisauripus bibractensis	extinct	237	246.7
Coelurosaurichnus grancieri	extinct	227.3	237
Chirotherium barthii	extinct	237	246.7
Anchisauripus bibractensis	extinct	237	246.7
Austriadactylus cristatus	extinct	205.7	211.18
Anchisauripus poolei	extinct	201.4	227.3
Orthodactylus howelli	extinct	201.4	227.3
Kintneria brunswickii	extinct	205.7	227.3
Gwyneddichnium majore	extinct	205.7	227.3
Gwyneddichnium elongatum	extinct	205.7	227.3
Gwyneddichnium minore	extinct	205.7	227.3
Anchisauripus gwyneddensis	extinct	205.7	227.3
Platypterna lockatong	extinct	205.7	227.3
Coelurosaurichnus toscanus	extinct	227.3	237
Kayentapus minor	extinct	211.18	227.3
Brachychirotherium parvum	extinct	211.18	227.3
Apatopus lineatus	extinct	211.18	227.3
Brachychirotherium parvum	extinct	211.18	227.3
Grallator tuberosus	extinct	211.18	227.3
Eubrontes sillimani	extinct	211.18	227.3
Kayentapus minor	extinct	211.18	227.3
Gregaripus bairdi	extinct	211.18	227.3
Coelurosaurichnus perriauxi	extinct	237	246.7
Anchisauripus bibractensis	extinct	237	246.7
Doswellia kaltenbachi	extinct	227.3	237
Doswellia kaltenbachi	extinct	227.3	237
Doswellia kaltenbachi	extinct	227.3	237
Doswellia kaltenbachi	extinct	227.3	237
Doswellia kaltenbachi	extinct	227.3	237
Grallator olonensis	extinct	201.4	205.7
Eubrontes minusculus	extinct	201.4	205.7
Batrachopus deweyi	extinct	201.4	205.7
Grallator olonensis	extinct	201.4	205.7
Eubrontes minusculus	extinct	201.4	205.7
Grallator variabilis	extinct	201.4	205.7
Calyptosuchus wellesi	extinct	205.7	237
Desmatosuchus spurensis	extinct	205.7	237
Postosuchus kirkpatricki	extinct	205.7	237
Spinosuchus caseanus	extinct	205.7	237
Postosuchus kirkpatricki	extinct	205.7	237
Hoplitosuchus raui	extinct	205.7	237
Teyumbaita sulcognathus	extinct	205.7	227.3
Rauisuchus tiradentes	extinct	205.7	237
Rauisuchus tiradentes	extinct	205.7	237
Hoplitosuchus raui	extinct	205.7	237
Rauisuchus tiradentes	extinct	205.7	237
Prestosuchus chiniquensis	extinct	237	241.464
Dromomeron romeri	extinct	205.7	227.3
Dromomeron romeri	extinct	205.7	227.3
Typothorax coccinarum	extinct	205.7	227.3
Rioarribasuchus chamaensis	extinct	205.7	227.3
Vivaron haydeni	extinct	205.7	227.3
Hwiccewyrm trispiculum	extinct	227.3	237
Pelecymala robustus	extinct	227.3	237
Sigmala sigmala	extinct	227.3	237
Pelecymala robustus	extinct	227.3	237
Rhombopholis scutulata	extinct	237	246.7
Langeronyx brodiei	extinct	237	246.7
Chirotherium ischigualastianum	extinct	237	241.464
Psephosauriscus rhombifer	extinct	237	246.7
Psephosauriscus sinaiticus	extinct	237	246.7
Tecovasuchus chatterjeei	extinct	205.7	227.3
Plateosaurus gracilis	extinct	211.18	215.38
Plateosaurus engelhardti	extinct	205.7	227.3
Thecodontosaurus antiquus	extinct	227.3	237
Weigeltisaurus jaekeli	extinct	254.14	259.51
