occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,within_range,Status
1421646,occ,,IF,197353,Chirotherium barthii,species,85727,Anisian,,246.7,241.464,67305,YES,extinct
1421647,occ,,IF,197296,Chirotherium barthii,species,85727,Anisian,,246.7,241.464,67305,YES,extinct
1421955,occ,,,176414,Ingentia prima,species,378703,Norian,,227.3,205.7,67318,YES,extinct
1423604,occ,,,175577,Macrocollum itaquii,species,378960,Norian,,227.3,205.7,67405,YES,extinct
1425292,occ,,,194784,Pectodens zhenyuensis,species,379314,Anisian,,246.7,241.464,67477,YES,extinct
1425418,occ,,,197985,Nochelesaurus alexanderi,species,324851,Capitanian,,264.28,259.51,29616,YES,extinct
1425560,occ,,,198028,Embrithosaurus schwarzi,species,324858,Capitanian,,264.28,259.51,29616,YES,extinct
1427995,occ,,,198618,Typothorax coccinarum,species,64940,Rhaetian,,205.7,201.4,67649,YES,extinct
1427999,occ,,,198618,Dromomeron romeri,species,104966,Rhaetian,,205.7,201.4,67649,YES,extinct
1428360,occ,,,55756,Stagonosuchus tanganyikaensis,species,380538,Anisian,,246.7,241.464,59882,YES,extinct
1428394,occ,,,93086,Bradysaurus seeleyi,species,144595,Capitanian,,264.28,259.51,67683,YES,extinct
1428401,occ,,,13004,Nochelesaurus alexanderi,species,324851,Capitanian,,264.28,259.51,67683,YES,extinct
1428412,occ,,,197985,Nochelesaurus alexanderi,species,324851,Capitanian,,264.28,259.51,67683,YES,extinct
1428484,occ,,,93097,Bradysaurus seeleyi,species,144595,Capitanian,,264.28,259.51,67683,YES,extinct
1428485,occ,,,93097,Bradysaurus baini,species,56752,Capitanian,,264.28,259.51,67683,YES,extinct
1428524,occ,,,198675,Bradysaurus seeleyi,species,144595,Capitanian,,264.28,259.51,67683,YES,extinct
1428526,occ,,,198676,Bradysaurus seeleyi,species,144595,Capitanian,,264.28,259.51,67683,YES,extinct
1428527,occ,,,198676,Bradysaurus seeleyi,species,144595,Capitanian,,264.28,259.51,67683,YES,extinct
1428528,occ,,,198676,Pareiasaurus serridens,species,55018,Capitanian,,264.28,259.51,67683,YES,extinct
1428531,occ,,,198677,Bradysaurus baini,species,56752,Capitanian,,264.28,259.51,67683,YES,extinct
1428847,occ,,,93096,Bradysaurus seeleyi,species,144595,Capitanian,,264.28,259.51,67683,YES,extinct
1428987,occ,,,198719,Bradysaurus seeleyi,species,144595,Capitanian,,264.28,259.51,67683,YES,extinct
1428995,occ,,,198721,Nochelesaurus alexanderi,species,324851,Capitanian,,264.28,259.51,67683,YES,extinct
1429166,occ,,,108766,Metamosaurus fossatus,species,392522,Artinskian,,290.1,283.3,30068,YES,extinct
1430263,occ,,,47800,Apatosuchus orbitoangulatus,species,56378,Alaunian,,215.38,211.18,49415,YES,extinct
1430528,occ,,,94785,Angistorhinus talainti,species,159231,Carnian,,237,227.3,67794,YES,extinct
1431220,occ,,,87420,Antarctanax shackletoni,species,381264,Early Triassic,,251.902,246.7,67836,YES,extinct
1432005,occ,,,199760,Partanosaurus zitteli,species,176567,Ladinian,,241.464,237,35078,YES,extinct
1432044,occ,,IF,96875,Chirotherium peabodyi,species,360015,Anisian,,246.7,241.464,67942,YES,extinct
1432046,occ,,IF,96875,Procolophonichnium winterswijkense,species,378527,Anisian,,246.7,241.464,67942,YES,extinct
1432049,occ,38343,IF,96875,Brachychirotherium paraparvum,species,436607,Anisian,,246.7,241.464,76686,YES,extinct
1432347,occ,,,138123,Doliovertebra fritschi,species,162599,Anisian,,246.7,241.464,46813,YES,extinct
1432348,occ,,,138096,Placodus gigas,species,95794,Ladinian,,241.464,237,44175,YES,extinct
1432598,occ,38342,IF,199855,Chirotherium barthii,species,85727,Illyrian,,243.33,241.464,76668,YES,extinct
1432599,occ,,I,74513,Coelurosaurichnus perriauxi,species,82507,Anisian,,246.7,241.464,67963,YES,extinct
1432600,occ,,IF,74513,Paratrisauropus latus,species,441709,Anisian,,246.7,241.464,67963,YES,extinct
1432602,occ,,IF,199856,Chirotherium barthii,species,85727,Anisian,,246.7,241.464,67963,YES,extinct
